title,authors,categories,published_year,average_rating,num_pages,ratings_count
This Rough Magic,Mary Stewart,Fiction,2004.0,4.05,373.0,4966.0
Airs Above the Ground,Mary Stewart,Fiction,2004.0,4.04,384.0,4458.0
The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,2004.0,4.15,263.0,31501.0
Beauty,Robin McKinley,Juvenile Fiction,2005.0,4.05,325.0,3203.0
A Couple of April Fools,Gregory Maguire,Juvenile Fiction,2005.0,3.5,240.0,3.0
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,2005.0,4.26,766.0,1099.0
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,2005.0,4.21,189.0,615.0
A Quick Bite,Lynsay Sands,Fiction,2005.0,3.91,360.0,34478.0
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,2005.0,4.16,340.0,123044.0
The Final Solution,Michael Chabon,Fiction,2005.0,3.31,131.0,13455.0
A False Mirror,Charles Todd,Fiction,2007.0,4.02,384.0,2354.0
Cracks in My Foundation,Marian Keyes,Fiction,2005.0,3.81,368.0,1569.0
A Fistful of Charms,Kim Harrison,Fiction,2006.0,4.28,510.0,46881.0
For a Few Demons More,Kim Harrison,Fiction,2007.0,4.33,456.0,47314.0
Mysteries of Pittsburgh,Michael Chabon,Fiction,2005.0,3.64,320.0,21338.0
Flight of the Nighthawks,Raymond E. Feist,Fiction,2006.0,3.95,368.0,9378.0
Into a Dark Realm,Raymond E. Feist,Fiction,2007.0,4.0,319.0,8974.0
Missing Mom,Joyce Carol Oates,Fiction,2006.0,3.54,464.0,3425.0
Touch Not the Cat,Mary Stewart,Fiction,2005.0,3.91,372.0,4857.0
King of the Vagabonds,Neal Stephenson,Fiction,2006.0,4.16,400.0,1859.0
Odalisque,Neal Stephenson,Fiction,2006.0,4.2,464.0,1505.0
The Sheltering Sky,Paul Bowles,Fiction,2005.0,3.91,313.0,898.0
The Thorn Birds,Colleen McCullough,Fiction,2005.0,4.23,673.0,516.0
"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,2005.0,3.68,448.0,126.0
Brave New World,Aldous Huxley,Fiction,2006.0,3.98,259.0,12332.0
Queen of Babble,Meg Cabot,Fiction,2006.0,3.69,309.0,59613.0
Continental Drift,Russell Banks,Fiction,2007.0,3.87,408.0,2744.0
Next,Michael Crichton,Fiction,2006.0,3.49,431.0,57257.0
How to Be Popular,Meg Cabot,Juvenile Fiction,2006.0,3.54,288.0,19183.0
The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,2006.0,3.85,255.0,11872.0
Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,2007.0,4.18,198.0,193862.0
Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,2006.0,4.06,357.0,44132.0
The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,2007.0,4.14,422.0,66192.0
