title,authors,categories,published_year,average_rating,num_pages,ratings_count
The Kitchen God's Wife,Amy Tan,Fiction,2006.0,4.0,416.0,64285.0
Complete Short Stories,Graham Greene,Fiction,2005.0,4.16,594.0,1106.0
Sodom and Gomorrah,Marcel Proust,Fiction,2005.0,4.36,557.0,3039.0
The Grapes of Wrath,John Steinbeck,Fiction,1939.0,3.95,464.0,6775.0
The Complete Novels,Jane Austen,Fiction,2006.0,4.55,1278.0,417.0
The Dharma Bums,Jack Kerouac,Fiction,1958.0,3.93,187.0,1993.0
Gravity's Rainbow,Thomas Pynchon,Fiction,1973.0,4.02,776.0,28034.0
Mrs. Dalloway,Virginia Woolf,Fiction,2002.0,3.79,194.0,167000.0
Animal Farm and 1984,George Orwell,Fiction,2003.0,4.28,400.0,140015.0
The Stone Fey,Robin McKinley,Juvenile Fiction,1998.0,3.35,64.0,1025.0
Gifts,Ursula K. Le Guin,Juvenile Fiction,2006.0,3.69,286.0,6442.0
Voices,Ursula K. Le Guin,Juvenile Fiction,2006.0,3.87,341.0,3353.0
The History of the Siege of Lisbon,José Saramago,Fiction,1998.0,3.8,314.0,324.0
The Tale of the Unknown Island,José Saramago,Fiction,2000.0,3.89,64.0,3138.0
The Cave,José Saramago,Fiction,2003.0,3.83,307.0,7390.0
A Drink Before the War,Dennis Lehane,Fiction,2003.0,3.95,282.0,28386.0
Baudolino,Umberto Eco,Fiction,2003.0,3.74,527.0,15490.0
The Female of the Species,Joyce Carol Oates,Fiction,2007.0,3.6,275.0,994.0
To the Lighthouse,Virginia Woolf,Fiction,1927.0,3.77,242.0,488.0
Foucault's Pendulum,Umberto Eco,Fiction,2007.0,3.9,623.0,44658.0
Between the Acts,Virginia Woolf,Fiction,1969.0,3.64,224.0,4202.0
The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf,Fiction,1989.0,4.04,345.0,684.0
Difficult Loves,Italo Calvino,Fiction,1984.0,3.93,300.0,3874.0
Homage to Catalonia,George Orwell,History,1952.0,4.15,232.0,27619.0
The Inheritors,William Golding,Fiction,1962.0,3.53,240.0,2681.0
Invisible Cities,Italo Calvino,Fiction,1978.0,4.17,165.0,39058.0
"Marcovaldo, Or, The Seasons in the City",Italo Calvino,Fiction,1983.0,3.88,128.0,5381.0
Mrs. Dalloway,Virginia Woolf,Fiction,1981.0,3.79,197.0,7971.0
The Nonexistent Knight & The Cloven Viscount,Italo Calvino,Fiction,1977.0,4.03,272.0,4585.0
To the Lighthouse,Virginia Woolf,Fiction,1981.0,3.77,209.0,4009.0
The Watcher & Other Stories,Italo Calvino,Fiction,1975.0,3.72,181.0,432.0
Pride and Prejudice,Jane Austen,Fiction,2004.0,4.25,333.0,2369.0
Persuasion,Jane Austen,Fiction,2004.0,4.13,249.0,421344.0
A Christmas Carol and Other Christmas Books,Charles Dickens,Fiction,2006.0,4.12,438.0,141.0
The Picture of Dorian Gray,Oscar Wilde,Fiction,2006.0,4.07,229.0,1079.0
Jane Austen's Letters,Jane Austen,Fiction,1997.0,4.15,672.0,2211.0
Miss Or Mrs?,Wilkie Collins,Fiction,1999.0,3.79,360.0,170.0
Great Expectations,Charles Dickens,Fiction,1998.0,3.76,505.0,523790.0
Complete Shorter Fiction,Oscar Wilde,Fiction,1998.0,4.16,288.0,1167.0
The Bostonians,Henry James,Fiction,1998.0,3.59,504.0,84.0
Daisy Miller and Other Stories,Henry James,Fiction,1998.0,3.51,352.0,537.0
Scenes of Clerical Life,George Eliot,Fiction,2000.0,3.78,310.0,2276.0
Dubliners,James Joyce,Fiction,2000.0,3.85,207.0,85800.0
The Hound of the Baskervilles,Sir Arthur Conan Doyle,Fiction,2000.0,3.92,105.0,131.0
The Oresteia,Aeschylus,Drama,2003.0,4.01,304.0,76.0
Clouds,Aristophanes,Drama,1970.0,3.76,254.0,13.0
William Shakespeare: The Complete Works,William Shakespeare,Drama,2005.0,4.62,1420.0,488.0
"Love, Sex & Tragedy",Simon Goldhill,History,2005.0,3.76,345.0,120.0
"Billy Budd, Sailor",Herman Melville,Fiction,1962.0,3.11,230.0,219.0
Three Plays by Kobo Abe,Kōbō Abe,Fiction,1993.0,3.91,233.0,76.0
The Lord of the Rings,J. R. R. Tolkien,Fiction,1991.0,4.49,1200.0,550.0
The Spy Who Barked,George Edward Stanley,Juvenile Fiction,2002.0,3.47,48.0,24.0
Terrorist,John Updike,Fiction,2006.0,3.17,320.0,3405.0
Beloved,Toni Morrison,Fiction,2006.0,3.81,360.0,617.0
The Name of the Rose,Umberto Eco,Fiction,2006.0,4.12,560.0,1323.0
The Road,Cormac McCarthy,Fiction,2006.0,3.96,241.0,574745.0
The Best of Wodehouse,Pelham Grenville Wodehouse,Fiction,2007.0,4.4,840.0,400.0
The Lighthouse,P. D. James,Fiction,2006.0,3.81,400.0,10330.0
If Beale Street Could Talk,James Baldwin,Fiction,2006.0,4.24,197.0,14306.0
The Sunset Limited,Cormac McCarthy,Drama,2006.0,3.96,160.0,6166.0
Breach of Promise,James Scott Bell,Fiction,2004.0,4.0,345.0,358.0
Deadlock,James Scott Bell,Fiction,2002.0,3.95,319.0,314.0
Ever After,Karen Kingsbury,Fiction,2006.0,4.32,337.0,10520.0
The Far Pavilions,M. M. Kaye,Fiction,1997.0,4.21,958.0,36300.0
From Bondage,Henry Roth,Fiction,1997.0,4.1,420.0,57.0
Mary Queen of Scotland & The Isles,Margaret George,Fiction,1997.0,4.05,870.0,11239.0
Human Croquet,Kate Atkinson,Fiction,1999.0,3.71,352.0,6602.0
The Autobiography of Henry VIII,Margaret George,Fiction,1998.0,4.25,939.0,23573.0
Requiem for Harlem,Henry Roth,Fiction,1998.0,4.16,304.0,51.0
High Five,Janet Evanovich,Fiction,1999.0,4.18,292.0,660.0
Death in the Andamans,M. M. Kaye,Fiction,2000.0,3.93,272.0,813.0
Death in Berlin,M. M. Kaye,Fiction,2000.0,3.89,272.0,839.0
Death in Kashmir,M. M. Kaye,Fiction,2000.0,3.95,256.0,1435.0
Timbuktu,Paul Auster,Fiction,1999.0,3.68,181.0,9200.0
The Naked and the Dead,Norman Mailer,Fiction,2000.0,3.94,721.0,20541.0
The Satanic Verses,Salman Rushdie,Fiction,2000.0,3.71,561.0,41709.0
An Unfortunate Woman,Richard Brautigan,Fiction,2001.0,3.78,132.0,1312.0
The Glass Bead Game,Hermann Hesse,Fiction,2002.0,4.11,558.0,24035.0
Emotionally Weird,Kate Atkinson,Fiction,2001.0,3.45,368.0,5066.0
The Last Jew,Noah Gordon,Fiction,1992.0,4.08,352.0,4119.0
Plum Lovin',Janet Evanovich,Fiction,2007.0,3.72,164.0,46237.0
Something Borrowed,Emily Giffin,Fiction,2004.0,3.84,322.0,439930.0
Something Borrowed,Emily Giffin,Fiction,2005.0,3.84,322.0,24424.0
Something Blue,Emily Giffin,Fiction,2006.0,3.93,338.0,186552.0
Spider Mountain,P. T. Deutermann,Fiction,2006.0,3.91,309.0,447.0
Baby Proof,Emily Giffin,Fiction,2006.0,3.71,340.0,136644.0
Lean Mean Thirteen,Janet Evanovich,Fiction,2007.0,4.09,310.0,78572.0
The Forsaken,L. A. Banks,Fiction,2006.0,4.35,448.0,1860.0
More Plums in One,Janet Evanovich,Fiction,2007.0,4.44,792.0,209.0
The Journey to the East,Hermann Hesse,Fiction,2003.0,3.7,128.0,7716.0
Galatea 2.2,Richard Powers,Fiction,2004.0,3.72,329.0,2063.0
Mason & Dixon,Thomas Pynchon,Fiction,2004.0,4.06,773.0,7756.0
Call It Sleep,Henry Roth,Fiction,2005.0,3.83,462.0,292.0
The Brooklyn Follies,Paul Auster,Fiction,2006.0,3.83,306.0,17317.0
Limitations,Scott Turow,Fiction,2006.0,3.33,208.0,1681.0
"The Demon Princes, Vol. 1",Jack Vance,Fiction,1997.0,4.25,446.0,1109.0
The Memory of Whiteness,Kim Stanley Robinson,Fiction,1996.0,3.56,352.0,431.0
Xenocide,Orson Scott Card,Fiction,1996.0,3.79,592.0,115661.0
Ports of Call,Jack Vance,Fiction,1999.0,3.53,300.0,395.0
"The Demon Princes, Vol. 2",Jack Vance,Fiction,1997.0,4.3,397.0,641.0
Lurulu,Jack Vance,Fiction,2007.0,3.58,204.0,268.0
The Land of Laughs,Jonathan Carroll,Fiction,2001.0,3.9,256.0,4218.0
Tales of the Dying Earth,Jack Vance,Fiction,2000.0,4.14,741.0,3919.0
The Fantasies of Robert A. Heinlein,Robert A. Heinlein,Fiction,2002.0,3.9,342.0,774.0
Songmaster,Orson Scott Card,Fiction,2002.0,3.73,352.0,6307.0
Duel,Richard Matheson,Fiction,2003.0,4.05,400.0,1752.0
Sword & Citadel,Gene Wolfe,Fiction,1994.0,4.31,411.0,9103.0
Pacific Edge,Kim Stanley Robinson,Fiction,1995.0,3.78,336.0,1154.0
Faking It,Jennifer Crusie,Fiction,2004.0,3.92,448.0,16443.0
Welcome to Temptation,Jennifer Crusie,Fiction,2004.0,3.95,416.0,28454.0
Full Bloom,Janet Evanovich;Charlotte Hughes,Fiction,2005.0,3.81,344.0,11877.0
Full Scoop,Janet Evanovich;Charlotte Hughes,Fiction,2006.0,3.79,347.0,11908.0
The Damned,L. A. Banks,Fiction,2007.0,4.28,492.0,1975.0
The Hunted,L. A. Banks,Fiction,2005.0,4.14,565.0,2705.0
The Forbidden,L. A. Banks,Fiction,2006.0,4.27,490.0,2115.0
When the Lion Feeds,Wilbur Smith,Fiction,2006.0,4.18,544.0,9802.0
A Sparrow Falls,Wilbur Smith,Fiction,2007.0,4.17,640.0,4772.0
Two for the Dough,Janet Evanovich,Fiction,2007.0,4.11,325.0,2441.0
The Edge of Honor,P. T. Deutermann,Fiction,1995.0,3.96,626.0,162.0
Wings of Fire,Charles Todd,Fiction,1999.0,3.99,306.0,4787.0
Four to Score,Janet Evanovich,Fiction,1999.0,4.17,313.0,114593.0
Black Coffee,Agatha Christie,Fiction,1999.0,3.48,304.0,9592.0
Search the Dark,Charles Todd,Fiction,2000.0,4.0,310.0,3717.0
Seven Up,Janet Evanovich,Fiction,2002.0,4.16,337.0,101029.0
Hardcase,Dan Simmons,Fiction,2002.0,3.69,291.0,1067.0
Warlock,Wilbur Smith,Fiction,2002.0,4.04,642.0,10830.0
Crooked House,Agatha Christie,Fiction,2002.0,4.02,276.0,22176.0
The Sigma Protocol,Robert Ludlum,Fiction,2002.0,3.79,662.0,9116.0
Full Blast,Janet Evanovich;Charlotte Hughes,Fiction,2004.0,3.82,344.0,12104.0
Hard Eight,Janet Evanovich,Fiction,2003.0,4.17,326.0,99289.0
Eleven on Top,Janet Evanovich,Fiction,2006.0,4.16,321.0,89961.0
Minion,L. A. Banks,Fiction,2004.0,3.44,286.0,5437.0
The Janson Directive,Robert Ludlum,Fiction,2003.0,3.86,693.0,7098.0
The Tristan Betrayal,Robert Ludlum,Fiction,2004.0,3.83,505.0,5810.0
The Ambler Warning,Robert Ludlum,Fiction,2006.0,3.72,632.0,9104.0
The Firefly,P. T. Deutermann,Fiction,2004.0,3.76,528.0,301.0
SantaKid,James Patterson,Juvenile Fiction,2004.0,3.89,48.0,850.0
The Terror,Dan Simmons,Fiction,2007.0,4.05,769.0,28640.0
Hollywood Station,Joseph Wambaugh,Fiction,2006.0,3.72,340.0,2030.0
The Harry Bosch Novels,Michael Connelly,Fiction,2001.0,4.34,794.0,1966.0
"Harry Bosch Novels, The: Volume 2",Michael Connelly,Fiction,2003.0,4.48,821.0,1952.0
Brideshead Revisited,Evelyn Waugh,Fiction,1982.0,4.0,351.0,76839.0
The Complete Stories of Evelyn Waugh,Evelyn Waugh,Fiction,2000.0,4.0,640.0,743.0
The Border Trilogy,Cormac McCarthy,Fiction,2002.0,4.43,1038.0,319.0
Hour Game,David Baldacci,Fiction,2005.0,3.97,726.0,204.0
Ragtime,E. L. Doctorow,Fiction,1975.0,3.88,270.0,57.0
Escape,James Clavell,Fiction,1996.0,3.62,584.0,258.0
Whirlwind,James Clavell,Fiction,1999.0,3.81,1231.0,5444.0
The best of Philip K. Dick,Philip K. Dick,Fiction,1977.0,4.22,450.0,614.0
On a pale horse,Piers Anthony,Fiction,1984.0,4.13,325.0,152.0
"Job, a Comedy of Justice",Robert Anson Heinlein,Fiction,1985.0,3.78,439.0,15580.0
With Friends Like These,Alan Dean Foster,Fiction,1984.0,3.94,236.0,2233.0
Mission to Moulokin,Alan Dean Foster,Fiction,1985.0,3.86,294.0,34.0
The Fellowship of the Ring,John Ronald Reuel Tolkien,Fiction,,,,
The Tolkien Reader,J. R. R. Tolkien,Fiction,1986.0,3.99,272.0,4092.0
The Best of H.P. Lovecraft,H. P. Lovecraft,Fiction,1982.0,4.31,406.0,26613.0
The Book of Lost Tales,John Ronald Reuel Tolkien,Fiction,1992.0,3.83,367.0,10413.0
First King of Shannara,Terry Brooks,Fiction,1997.0,3.96,435.0,841.0
Ilse Witch,Terry Brooks,Fiction,2001.0,3.96,456.0,15491.0
Cry to Heaven,Anne Rice,Fiction,1995.0,3.84,566.0,17761.0
Starshield Sentinels,Margaret Weis;Tracy Hickman,Fiction,1996.0,3.51,421.0,179.0
The Mantle of Kendis-Dai,Margaret Weis;Tracy Hickman,Fiction,1997.0,3.61,353.0,191.0
Friday,Robert Anson Heinlein,Fiction,1997.0,3.83,384.0,22702.0
The 158-Pound Marriage,John Irving,Fiction,1997.0,3.24,176.0,11124.0
The Princess Bride,William Goldman,Fiction,2003.0,4.26,398.0,673146.0
Reunion,Alan Dean Foster,Fiction,2001.0,3.87,352.0,1339.0
Mostly Harmless,Douglas Adams,Fiction,2000.0,3.97,240.0,72235.0
"Life, the Universe and Everything",Douglas Adams,Fiction,1982.0,4.2,224.0,158946.0
The Queen of the Damned,Anne Rice,Fiction,1997.0,3.88,448.0,118857.0
The Tale of the Body Thief,Anne Rice,Fiction,1997.0,3.72,468.0,71219.0
Tales of the Cthulhu Mythos,H. P. Lovecraft,Fiction,1998.0,4.2,462.0,4154.0
Nightsword,Margaret Weis;Tracy Hickman,Fiction,1999.0,3.66,404.0,155.0
Omerta,Mario Puzo,Fiction,2001.0,3.7,369.0,11872.0
Angel Fire East,Terry Brooks,Fiction,2000.0,4.1,368.0,546.0
Morgawr,Terry Brooks,Fiction,2003.0,3.97,415.0,13817.0
Tanequil,Terry Brooks,Fiction,2005.0,3.98,357.0,10507.0
The Dark Arena,Mario Puzo,Fiction,2001.0,3.35,288.0,1515.0
The Sicilian,Mario Puzo,Fiction,2001.0,3.96,416.0,15801.0
The Silent Gondoliers,William Goldman,Fiction,2001.0,3.8,128.0,1290.0
Welcome to the Great Mysterious,Lorna Landvik,Fiction,2002.0,3.77,368.0,2353.0
A Stroke of Midnight,Laurell K. Hamilton,Fiction,2006.0,4.07,385.0,28124.0
Death in Holy Orders,P. D. James,Fiction,2002.0,3.92,429.0,9511.0
A Chosen Few,Mark Kurlansky,History,2002.0,3.87,456.0,45.0
Boogaloo on 2nd Avenue,Mark Kurlansky,Fiction,2005.0,3.15,319.0,182.0
Flinx's Folly,Alan Dean Foster,Fiction,2004.0,3.94,288.0,1729.0
Clay's Quilt,Silas House,Fiction,2001.0,3.95,320.0,2588.0
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,2002.0,4.38,815.0,240189.0
1968,Mark Kurlansky,History,2005.0,3.78,480.0,1933.0
The Probable Future,Alice Hoffman,Fiction,2004.0,3.83,352.0,11612.0
The Vampire Chronicles Collection,Anne Rice,Fiction,2002.0,4.27,1280.0,481.0
The Bonesetter's Daughter,Amy Tan,Fiction,2003.0,3.98,368.0,105432.0
Altered Carbon,Richard K. Morgan,Fiction,2006.0,4.06,526.0,52810.0
Market Forces,Richard K. Morgan,Fiction,2005.0,3.59,464.0,5398.0
Lost and Found,Alan Dean Foster,Fiction,2005.0,3.68,256.0,702.0
The Light-Years Beneath My Feet,Alan Dean Foster,Fiction,2006.0,3.73,232.0,445.0
Sliding Scales,Alan Dean Foster,Fiction,2005.0,3.87,257.0,1149.0
Running from the Deity,Alan Dean Foster,Fiction,2006.0,3.8,280.0,1025.0
Judas Unchained,Peter F. Hamilton,Fiction,2007.0,4.31,1008.0,707.0
The Fourth Hand,John Irving,Fiction,2003.0,3.31,368.0,24758.0
Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,H. P. Lovecraft,Fiction,2002.0,,,
Saving Fish from Drowning,Amy Tan,Fiction,2006.0,3.43,472.0,26172.0
A Parchment of Leaves,Silas House,Fiction,2003.0,4.17,304.0,3049.0
The Heritage of Shannara,Terry Brooks,Fiction,2003.0,4.28,1238.0,3548.0
Perfect Nightmare,John Saul,Fiction,2006.0,3.89,384.0,3607.0
Oh My Stars,Lorna Landvik,Fiction,2005.0,3.89,416.0,5339.0
The Chronicles of Riddick,Alan Dean Foster,Fiction,2004.0,3.95,342.0,1352.0
The Amateur Marriage,Anne Tyler,Fiction,2006.0,3.61,342.0,12584.0
The Vampire Lestat,Anne Rice,Fiction,2004.0,4.07,481.0,152168.0
Vanish,Tess Gerritsen,Fiction,2006.0,4.12,401.0,45210.0
Already Dead,Charlie Huston,Fiction,2005.0,3.79,268.0,8322.0
No Dominion,Charlie Huston,Fiction,2006.0,3.99,251.0,4599.0
A Slipping-down Life,Anne Tyler,Fiction,1970.0,3.6,192.0,3261.0
Until I Find You,John Irving,Fiction,2006.0,3.63,820.0,22066.0
The Coal Tattoo,Silas House,Fiction,2005.0,4.04,368.0,1704.0
A Dangerous Man,Charlie Huston,Fiction,2006.0,4.07,286.0,2681.0
Enchantment,Orson Scott Card,Fiction,2005.0,3.9,422.0,23134.0
Jarka Ruus,Terry Brooks,Fiction,2005.0,3.97,416.0,11867.0
Armageddon's Children,Terry Brooks,Fiction,2007.0,4.1,404.0,608.0
Them,Joyce Carol Oates,Fiction,2006.0,3.71,576.0,2591.0
Thirteen,Richard K. Morgan,Fiction,2007.0,3.89,544.0,7778.0
The Devil's Labyrinth,John Saul,Fiction,2007.0,3.46,352.0,2383.0
The Manhattan Hunt Club,John Saul,Fiction,2006.0,3.98,384.0,4757.0
The Voyage of the Jerle Shannara Trilogy,Terry Brooks,Fiction,2006.0,4.26,1248.0,3030.0
Star Trek Logs Five and Six,Alan Dean Foster,Fiction,2006.0,3.65,388.0,35.0
Logs Seven and Eight,Alan Dean Foster,Fiction,2006.0,3.69,358.0,34.0
The Hobbit / The Lord of the Rings,John Ronald Reuel Tolkien,Fiction,2012.0,4.59,1728.0,97731.0
Monkey Business,Sarah Mlynowski,Fiction,2004.0,3.66,400.0,3250.0
The MacGregors,Nora Roberts,Fiction,2006.0,4.11,458.0,9300.0
Dream Makers,Nora Roberts,Fiction,2006.0,3.81,411.0,966.0
Rebellion,Nora Roberts,Fiction,2006.0,3.91,395.0,6462.0
Tallchief for Keeps,Cait London,Fiction,1997.0,4.22,296.0,64.0
First Impressions,Nora Roberts,Fiction,1992.0,3.74,250.0,31.0
Savage Sun,James Axler,Fiction,1997.0,3.87,352.0,91.0
Omega Path,James Axler,Fiction,1998.0,3.87,352.0,77.0
Hydra's Ring,James Axler,Fiction,2006.0,3.88,348.0,23.0
Tallchief,Cait London,Fiction,2002.0,4.12,192.0,47.0
Blame it on the Blackout,Heidi Betts,Fiction,2005.0,3.49,187.0,105.0
Bedded Then Wed,Heidi Betts,Fiction,2006.0,3.41,181.0,101.0
Blackmailed Into Bed,Heidi Betts,Fiction,2007.0,3.38,179.0,107.0
Tell Me No Lies,Elizabeth Lowell,Fiction,2006.0,3.98,576.0,2188.0
"The Pirate, the Adventurer & the Cowboy",Jayne Ann Krentz,Fiction,2006.0,3.87,362.0,258.0
Call After Midnight & Under the Knife,Tess Gerritsen,Fiction,2006.0,4.0,555.0,244.0
Manhunting,Jennifer Crusie,Fiction,1993.0,3.77,328.0,13098.0
Reckless Love,Elizabeth Lowell,Fiction,2007.0,3.78,384.0,1076.0
The Perfect Score,Julie Kenner,Fiction,2006.0,3.25,240.0,108.0
Elphame's Choice,P. C. Cast,Fiction,2004.0,4.02,551.0,3894.0
Brighid's Quest,P. C. Cast,Fiction,2005.0,4.14,507.0,3280.0
Sizzle,Jennifer Crusie,Fiction,1994.0,3.09,92.0,655.0
The Foundling,Georgette Heyer,Fiction,2003.0,3.85,406.0,3599.0
Sylvester,Georgette Heyer,Fiction,2004.0,4.11,410.0,9626.0
The Echo Maker,Richard Powers,Fiction,2006.0,3.37,451.0,6665.0
Gimpel the Fool and Other Stories,Isaac Bashevis Singer,Fiction,1988.0,4.16,205.0,36.0
The Natural,Bernard Malamud,Fiction,1952.0,3.63,231.0,8568.0
The Slave,Isaac Bashevis Singer,Fiction,1988.0,4.17,320.0,1952.0
Sammlung,Isaac Bashevis Singer,Fiction,1982.0,4.37,624.0,1603.0
Satan in Goray,Isaac Bashevis Singer,Fiction,1996.0,3.86,288.0,807.0
The Magic Barrel,Bernard Malamud,Fiction,2003.0,4.0,240.0,1898.0
The Fixer,Bernard Malamud,Fiction,2004.0,3.95,335.0,8394.0
Gimpel the Fool,Isaac Bashevis Singer,Fiction,1957.0,4.16,224.0,1683.0
Martin and John,Dale Peck,Fiction,2006.0,3.73,248.0,694.0
Sophie's World,Jostein Gaarder,Fiction,2007.0,3.91,518.0,4273.0
The Border Trilogy,Cormac McCarthy,Fiction,1999.0,4.43,1040.0,4468.0
The Executioner's Song,Norman Mailer,Fiction,1998.0,4.07,1056.0,15185.0
The Amen Corner,James Baldwin,Drama,1998.0,3.9,112.0,427.0
Tell Me how Long the Train's Been Gone,James Baldwin,Fiction,1998.0,4.25,496.0,2013.0
The World and Other Places,Jeanette Winterson,Fiction,2000.0,3.87,240.0,1918.0
Glamorama,Bret Easton Ellis,Fiction,2000.0,3.47,546.0,16691.0
The Autograph Man,Zadie Smith,Fiction,2003.0,3.15,347.0,9202.0
"Breath, Eyes, Memory",Edwidge Danticat,Fiction,1998.0,3.87,234.0,24348.0
No Country for Old Men,Cormac McCarthy,Fiction,2006.0,4.13,309.0,114408.0
I Married a Communist,Philip Roth,Fiction,1999.0,3.8,323.0,4759.0
The Adolescent,Fyodor Dostoyevsky,Fiction,2004.0,3.94,647.0,3403.0
Shroud,John Banville,Fiction,2004.0,3.65,257.0,936.0
The Box Man,Kōbō Abe,Fiction,2001.0,3.65,178.0,3293.0
The Ruined Map,Kōbō Abe,Fiction,2001.0,3.56,304.0,1330.0
A Coffin for Dimitrios,Eric Ambler,Fiction,2001.0,3.92,304.0,4888.0
Journey Into Fear,Eric Ambler,Fiction,2002.0,3.92,288.0,2185.0
The Light of Day,Eric Ambler,Fiction,2004.0,3.74,224.0,742.0
Lunar Park,Bret Easton Ellis,Fiction,2006.0,3.62,404.0,19185.0
The Picture of Dorian Gray,Oscar Wilde,Fiction,1998.0,4.07,367.0,705175.0
In Search of Lost Time Volume III The Guermantes Way,Marcel Proust,Fiction,1998.0,4.31,834.0,426.0
Sodom and Gomorrah,Marcel Proust,Fiction,1992.0,4.36,784.0,354.0
Great Expectations,Charles Dickens,Fiction,2001.0,3.76,480.0,355.0
Ethan Frome & Summer,Edith Wharton,Fiction,2001.0,3.86,274.0,472.0
Little Dorrit,Charles Dickens,Fiction,2002.0,3.98,1347.0,286.0
Daniel Deronda,George Eliot,Fiction,1876.0,3.83,796.0,19852.0
War and Peace,graf Leo Tolstoy,Fiction,2002.0,4.11,1388.0,830.0
Terrier,Tamora Pierce,Juvenile Fiction,2006.0,4.16,584.0,54179.0
"Junie B., First Grader",Barbara Park,Juvenile Fiction,2003.0,4.03,86.0,103.0
Moose Master,George Edward Stanley,Juvenile Fiction,2004.0,4.08,48.0,10.0
Code Word Kangaroo,George Edward Stanley,Juvenile Fiction,2004.0,4.33,48.0,4.0
The Realm of Possibility,David Levithan,Juvenile Fiction,2006.0,3.93,210.0,14438.0
Are We There Yet?,David Levithan,Juvenile Fiction,2007.0,3.5,215.0,117.0
The Amber Spyglass,Philip Pullman,Juvenile Fiction,2007.0,4.09,518.0,543.0
Ox,Piers Anthony,Fiction,1976.0,3.43,256.0,805.0
Chaining the Lady,Piers Anthony,Fiction,1978.0,3.64,342.0,986.0
The Grass Crown,Colleen McCullough,Fiction,1992.0,4.29,1104.0,9397.0
Caesar's Women,Colleen McCullough,Fiction,1997.0,4.24,943.0,5277.0
Tim,Colleen McCullough,Fiction,1990.0,3.81,288.0,150.0
Shadow of a Dark Queen,Raymond E. Feist,Fiction,1995.0,4.04,497.0,22935.0
Prayers for Rain,Dennis Lehane,Fiction,2000.0,4.09,375.0,15965.0
Devil May Care,Elizabeth Peters,Fiction,1977.0,3.87,352.0,2196.0
Street of the Five Moons,Elizabeth Peters,Fiction,2000.0,3.94,376.0,3575.0
Summer of the Dragon,Elizabeth Peters,Fiction,2001.0,3.92,352.0,2359.0
Shutter Island,Dennis Lehane,Fiction,2004.0,4.09,369.0,128927.0
The Deeds of the Disturber,Elizabeth Peters,Fiction,2000.0,4.05,389.0,12003.0
Killing Time,Cynthia Harrod-Eagles,Fiction,1998.0,3.97,280.0,11.0
Firefly,Piers Anthony,Fiction,1992.0,3.27,466.0,2369.0
Only Mine,Elizabeth Lowell,Fiction,1992.0,3.93,400.0,2164.0
To Love a Dark Lord,Anne Stuart,Fiction,1994.0,3.83,409.0,1203.0
Smoke and Mirrors,Neil Gaiman,Fiction,2005.0,4.05,365.0,50702.0
Shards of a Broken Crown,Raymond E. Feist,Fiction,1999.0,4.01,498.0,17883.0
Exile's Return,Raymond E. Feist,Fiction,2006.0,4.02,343.0,11973.0
The Great Book of Amber,Roger Zelazny,Fiction,1999.0,4.3,1258.0,22974.0
The Wolves in the Walls,Neil Gaiman,Juvenile Fiction,2005.0,4.07,56.0,13382.0
Lamb,Christopher Moore,Fiction,2003.0,4.26,444.0,130754.0
Olympos,Dan Simmons,Fiction,2006.0,3.94,891.0,12846.0
The Marriage Lesson,Victoria Alexander,Fiction,2001.0,3.9,372.0,1449.0
Love Poems and Sonnets of William Shakespeare,William Shakespeare,Drama,1991.0,4.34,160.0,5625.0
Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,Fiction,1966.0,4.38,821.0,174162.0
Night Shift,Stephen King,Fiction,1978.0,3.99,344.0,470.0
The King's buccaneer,Raymond E. Feist,Fiction,1992.0,4.01,465.0,128.0
Lost in the Funhouse,John Barth,Fiction,1988.0,3.71,205.0,4899.0
The Book of Ruth,Jane Hamilton,Fiction,1990.0,3.84,328.0,61475.0
Dragonfly in Amber,Diana Gabaldon,Fiction,1992.0,4.32,743.0,1018.0
Brian's Winter,Gary Paulsen,Juvenile Fiction,1996.0,4.01,133.0,65.0
"God Bless You, Mr. Rosewater",Kurt Vonnegut,Fiction,1998.0,3.96,288.0,40488.0
Welcome to the Monkey House,Kurt Vonnegut,Fiction,1968.0,4.14,331.0,44749.0
Bluebeard,Kurt Vonnegut,Fiction,1998.0,4.03,318.0,29644.0
King Rat,James Clavell,Fiction,1999.0,4.13,368.0,27166.0
Player Piano,Kurt Vonnegut,Fiction,1999.0,3.87,341.0,38620.0
"Wampeters, Foma & Granfalloons (opinions)",Kurt Vonnegut,Fiction,2006.0,3.78,318.0,7077.0
Galapagos: A Novel,Kurt Vonnegut,Fiction,1999.0,3.87,324.0,53777.0
Jailbird,Kurt Vonnegut,Fiction,1999.0,3.81,310.0,17241.0
Deadeye Dick,Kurt Vonnegut,Fiction,1999.0,3.81,271.0,21076.0
Slapstick,Kurt Vonnegut,Fiction,1999.0,3.87,288.0,29942.0
Dragonfly in Amber,Diana Gabaldon,Fiction,2001.0,4.32,743.0,208928.0
Voyager,Diana Gabaldon,Fiction,2001.0,4.39,870.0,188662.0
A Painted House,John Grisham,Fiction,2004.0,3.69,384.0,65551.0
The Client,John Grisham,Fiction,2005.0,3.99,483.0,351882.0
